일자,기관 합계,기타법인,개인,외국인 합계,전체
"2026/03/06","1.357473E7","834178.0","2.3183057E7","1.8707678E7","5.6299643E7"
"2026/03/05","2.0620525E7","1330165.0","3.1909831E7","2.633271E7","8.019323E7"
"2026/03/04","2.6840616E7","1781850.0","4.2904821E7","3.6502481E7","1.08029768E8"
"2026/03/03","2.1003315E7","1405180.0","3.9033923E7","2.8661484E7","9.0103903E7"
"2026/02/27","1.8643329E7","1060094.0","3.2251597E7","3.1541667E7","8.3496687E7"
"2026/02/26","1.768497E7","1021639.0","2.6227326E7","1.9808399E7","6.4742334E7"
"2026/02/25","1.5012781E7","1201397.0","2.2024614E7","1.7110148E7","5.5348939E7"
"2026/02/24","1.409231E7","736018.0","1.7835576E7","1.5760378E7","4.8424282E7"
"2026/02/23","1.3489038E7","737015.0","2.1690021E7","1.5080364E7","5.0996438E7"
"2026/02/20","1.3792078E7","750188.0","2.1123875E7","1.4312514E7","4.9978655E7"
"2026/02/19","1.3462313E7","742290.0","1.8290351E7","1.4408589E7","4.6903543E7"
"2026/02/13","1.1079035E7","736799.0","2.1660178E7","1.3511974E7","4.6987986E7"
"2026/02/12","1.3765027E7","620977.0","1.6546183E7","1.5909403E7","4.684159E7"
"2026/02/11","9954724.0","562604.0","1.5229961E7","1.1900064E7","3.7647353E7"
"2026/02/10","1.0282412E7","542344.0","1.4248678E7","1.2418767E7","3.7492201E7"
"2026/02/09","1.366608E7","644058.0","1.5040959E7","1.3340758E7","4.2691855E7"
"2026/02/06","1.4185971E7","1148377.0","2.0922656E7","1.5544054E7","5.1801058E7"
"2026/02/05","1.360334E7","811412.0","2.5095476E7","1.5303362E7","5.481359E7"
"2026/02/04","1.4413527E7","718641.0","2.0314033E7","1.5077611E7","5.0523812E7"
"2026/02/03","1.4296291E7","710051.0","1.8584409E7","1.6124093E7","4.9714844E7"
"2026/02/02","1.6376853E7","939949.0","2.6307935E7","1.9159869E7","6.2784606E7"
"2026/01/30","1.4822891E7","837403.0","2.6277064E7","2.0560249E7","6.2497607E7"
"2026/01/29","1.6330333E7","808561.0","2.7794289E7","1.8297145E7","6.3230327E7"
"2026/01/28","1.3231945E7","639687.0","2.3084089E7","1.6668513E7","5.3624233E7"
"2026/01/27","1.2630311E7","604611.0","2.004261E7","1.3706181E7","4.6983713E7"
"2026/01/26","1.0502044E7","535635.0","1.9164214E7","1.1515653E7","4.1717546E7"
"2026/01/23","1.2311713E7","624292.0","1.9060195E7","1.258158E7","4.457778E7"
"2026/01/22","1.3202185E7","817706.0","2.0517309E7","1.3954808E7","4.8492008E7"
"2026/01/21","1.2116719E7","751711.0","1.9179147E7","1.4393997E7","4.6441574E7"
"2026/01/20","1.1007997E7","715216.0","1.900184E7","1.1132444E7","4.1857497E7"
"2026/01/19","9644466.0","704766.0","1.7311558E7","9661714.0","3.7322503E7"
"2026/01/16","1.0322066E7","655723.0","1.7448093E7","1.1566962E7","3.9992843E7"
"2026/01/15","1.0700573E7","649700.0","1.4283205E7","1.0072121E7","3.57056E7"
"2026/01/14","9130664.0","568664.0","1.4359492E7","1.0826623E7","3.4885443E7"
"2026/01/13","1.0008326E7","661529.0","1.5752764E7","1.0098363E7","3.6520983E7"
"2026/01/12","9515242.0","655440.0","1.4681548E7","9830470.0","3.46827E7"
"2026/01/09","9221145.0","643778.0","1.3931688E7","9504992.0","3.3301603E7"
"2026/01/08","1.0248925E7","681043.0","1.5738968E7","1.1969173E7","3.863811E7"
"2026/01/07","1.0131797E7","519822.0","1.7593715E7","1.3428308E7","4.1673642E7"
"2026/01/06","9597079.0","520377.0","1.6133159E7","1.065921E7","3.6909824E7"
"2026/01/05","8453500.0","537207.0","1.3186873E7","1.1517835E7","3.3695415E7"
"2026/01/02","7207933.0","416532.0","1.1830413E7","7695762.0","2.715064E7"
"2025/12/30","4852063.0","277927.0","8868538.0","5539164.0","1.9537692E7"
"2025/12/29","5811979.0","260907.0","9977331.0","5981976.0","2.2032193E7"
"2025/12/26","5687949.0","442907.0","1.1168627E7","6083404.0","2.3382887E7"
"2025/12/24","4626037.0","325946.0","8742491.0","4232372.0","1.7926847E7"
"2025/12/23","5207577.0","281296.0","9062491.0","5136637.0","1.9688002E7"
"2025/12/22","6342522.0","220675.0","7350576.0","5636412.0","1.9550185E7"
"2025/12/19","5387724.0","300184.0","8939979.0","8309400.0","2.2937287E7"
