일자,기관 합계,기타법인,개인,외국인 합계,전체
"2026/03/06","-1497234.0","119105.0","3316592.0","-1938464.0","0.0"
"2026/03/05","-1957617.0","43474.0","1994941.0","-80797.0","0.0"
"2026/03/04","121624.0","263778.0","-735753.0","350351.0","0.0"
"2026/03/03","-2238112.0","369650.0","6876204.0","-5007741.0","0.0"
"2026/02/27","-773649.0","260451.0","7543032.0","-7029834.0","0.0"
"2026/02/26","337336.0","259703.0","1366138.0","-1963177.0","0.0"
"2026/02/25","184620.0","-314178.0","1472150.0","-1342592.0","0.0"
"2026/02/24","2290811.0","127234.0","-2346245.0","-71799.0","0.0"
"2026/02/23","-1365589.0","177140.0","2368275.0","-1179826.0","0.0"
"2026/02/20","903343.0","154665.0","-345127.0","-712880.0","0.0"
"2026/02/19","1394876.0","161140.0","-683740.0","-872276.0","0.0"
"2026/02/13","-998369.0","145959.0","1792993.0","-940583.0","0.0"
"2026/02/12","1044122.0","99972.0","-4303988.0","3159894.0","0.0"
"2026/02/11","389912.0","176923.0","-1472360.0","905526.0","0.0"
"2026/02/10","119710.0","188113.0","-467377.0","159554.0","0.0"
"2026/02/09","3027332.0","160471.0","-3689198.0","501395.0","0.0"
"2026/02/06","509044.0","212864.0","2440797.0","-3162705.0","0.0"
"2026/02/05","-3425569.0","344390.0","8154850.0","-5073670.0","0.0"
"2026/02/04","1170169.0","175178.0","-351578.0","-993770.0","0.0"
"2026/02/03","2070462.0","69341.0","-2885178.0","745376.0","0.0"
"2026/02/02","-2889940.0","110218.0","5268908.0","-2489186.0","0.0"
"2026/01/30","-2328055.0","194095.0","4083588.0","-1949628.0","0.0"
"2026/01/29","-1993751.0","122544.0","3371592.0","-1500385.0","0.0"
"2026/01/28","-3489468.0","-142032.0","3262219.0","369282.0","0.0"
"2026/01/27","-899916.0","-2157.0","-23147.0","925220.0","0.0"
"2026/01/26","-3414882.0","23675.0","3554502.0","-163296.0","0.0"
"2026/01/23","-81202.0","125985.0","-217022.0","172239.0","0.0"
"2026/01/22","-374000.0","253252.0","347012.0","-226264.0","0.0"
"2026/01/21","-381552.0","232977.0","-367766.0","516341.0","0.0"
"2026/01/20","-1200545.0","194178.0","872382.0","133984.0","0.0"
"2026/01/19","-497516.0","234814.0","-239670.0","502373.0","0.0"
"2026/01/16","-353171.0","228025.0","-314259.0","439405.0","0.0"
"2026/01/15","673489.0","226873.0","-1285546.0","385184.0","0.0"
"2026/01/14","125239.0","228763.0","3415.0","-357417.0","0.0"
"2026/01/13","615505.0","211099.0","-596038.0","-230567.0","0.0"
"2026/01/12","-38685.0","267131.0","148261.0","-376707.0","0.0"
"2026/01/09","899821.0","266428.0","336415.0","-1502663.0","0.0"
"2026/01/08","-1689577.0","257937.0","1524736.0","-93096.0","0.0"
"2026/01/07","-1457892.0","26993.0","177274.0","1253625.0","0.0"
"2026/01/06","-390541.0","78088.0","939941.0","-627489.0","0.0"
"2026/01/05","-1162313.0","86994.0","-1060608.0","2135927.0","0.0"
"2026/01/02","-875409.0","85680.0","184797.0","604932.0","0.0"
"2025/12/30","-688734.0","67595.0","1126440.0","-505300.0","0.0"
"2025/12/29","-368717.0","-76397.0","170633.0","274481.0","0.0"
"2025/12/26","-7313.0","79938.0","-1873160.0","1800535.0","0.0"
"2025/12/24","-351885.0","14804.0","-193440.0","530521.0","0.0"
"2025/12/23","198540.0","187.0","-1123542.0","924815.0","0.0"
"2025/12/22","1697500.0","-27704.0","-2770085.0","1100289.0","0.0"
"2025/12/19","698353.0","43433.0","14001.0","-755787.0","0.0"
"2025/12/18","-696877.0","127293.0","887502.0","-317918.0","0.0"
"2025/12/17","286361.0","34708.0","-201584.0","-119486.0","0.0"
"2025/12/16","-713471.0","10895.0","1795016.0","-1092440.0","0.0"
"2025/12/15","-922983.0","-17481.0","1955382.0","-1014918.0","0.0"
"2025/12/12","1316223.0","10817.0","-1477584.0","150544.0","0.0"
"2025/12/11","-1168442.0","24978.0","756322.0","387143.0","0.0"
"2025/12/10","-648656.0","19188.0","72273.0","557194.0","0.0"
"2025/12/09","-86782.0","-1308.0","268963.0","-180874.0","0.0"
"2025/12/08","-146931.0","88795.0","-215887.0","274023.0","0.0"
"2025/12/05","1118887.0","-5534.0","-2133617.0","1020265.0","0.0"
"2025/12/04","-181036.0","29233.0","809651.0","-657848.0","0.0"
"2025/12/03","1178004.0","-105034.0","-897544.0","-175426.0","0.0"
"2025/12/02","363841.0","-18819.0","-1593970.0","1248948.0","0.0"
"2025/12/01","-492886.0","-20093.0","299151.0","213828.0","0.0"
"2025/11/28","498611.0","-876.0","1788080.0","-2285815.0","0.0"
"2025/11/27","240477.0","51300.0","-447621.0","155844.0","0.0"
"2025/11/26","1490192.0","66920.0","-1827072.0","269960.0","0.0"
"2025/11/25","-45992.0","1349.0","36010.0","8634.0","0.0"
"2025/11/24","1150194.0","-9920.0","-338499.0","-801776.0","0.0"
"2025/11/21","-183212.0","84201.0","2866049.0","-2767037.0","0.0"
"2025/11/20","843319.0","-78764.0","-1466409.0","701854.0","0.0"
"2025/11/19","628269.0","-11009.0","446803.0","-1064063.0","0.0"
"2025/11/18","-1054009.0","-16143.0","1570740.0","-500588.0","0.0"
"2025/11/17","-73988.0","-22470.0","-388549.0","485007.0","0.0"
"2025/11/14","-1824496.0","13162.0","4088074.0","-2276739.0","0.0"
"2025/11/13","-1010979.0","-25718.0","-8452.0","1045149.0","0.0"
"2025/11/12","702440.0","6251.0","-302871.0","-405821.0","0.0"
"2025/11/11","-130873.0","28567.0","-4454.0","106760.0","0.0"
"2025/11/10","1076170.0","16614.0","-893064.0","-199721.0","0.0"
"2025/11/07","-610505.0","34244.0","971908.0","-395647.0","0.0"
"2025/11/06","562172.0","-5442.0","1134013.0","-1690743.0","0.0"
"2025/11/05","-207929.0","-388011.0","2551099.0","-1955159.0","0.0"
"2025/11/04","-1102780.0","36159.0","3324389.0","-2257769.0","0.0"
"2025/11/03","-306903.0","-7295.0","1142509.0","-828311.0","0.0"
"2025/10/31","-1516744.0","11603.0","154027.0","1351115.0","0.0"
"2025/10/30","-1633274.0","30701.0","1756696.0","-154123.0","0.0"
"2025/10/29","19071.0","-43273.0","146088.0","-121886.0","0.0"
"2025/10/28","-577651.0","14667.0","2212024.0","-1649040.0","0.0"
"2025/10/27","-363170.0","-60564.0","-204496.0","628230.0","0.0"
"2025/10/24","1239200.0","44948.0","-1881157.0","597009.0","0.0"
"2025/10/23","-656991.0","72565.0","981327.0","-396900.0","0.0"
"2025/10/22","492578.0","45950.0","127115.0","-665643.0","0.0"
"2025/10/21","-312473.0","-18521.0","375228.0","-44233.0","0.0"
"2025/10/20","378993.0","24226.0","-167208.0","-236011.0","0.0"
"2025/10/17","-584073.0","57017.0","66269.0","460787.0","0.0"
"2025/10/16","436456.0","-33926.0","-1068636.0","666107.0","0.0"
"2025/10/15","457400.0","63829.0","-691375.0","170146.0","0.0"
"2025/10/14","-1103041.0","121731.0","536854.0","444456.0","0.0"
"2025/10/13","-1030500.0","53036.0","1822538.0","-845073.0","0.0"
"2025/10/10","-926513.0","37542.0","-87405.0","976376.0","0.0"
"2025/10/02","-188550.0","46107.0","-3040821.0","3183264.0","0.0"
"2025/10/01","87283.0","12390.0","-926126.0","826452.0","0.0"
"2025/09/30","-218009.0","71266.0","137070.0","9673.0","0.0"
"2025/09/29","234016.0","-14839.0","-610671.0","391493.0","0.0"
"2025/09/26","-779211.0","-35385.0","1336171.0","-521574.0","0.0"
"2025/09/25","8866.0","42540.0","-262168.0","210762.0","0.0"
"2025/09/24","-79537.0","18206.0","294831.0","-233500.0","0.0"
"2025/09/23","-408635.0","52276.0","68150.0","288209.0","0.0"
"2025/09/22","-34536.0","-47224.0","-507449.0","589209.0","0.0"
"2025/09/19","-621063.0","131022.0","815809.0","-325768.0","0.0"
"2025/09/18","238464.0","75632.0","-624862.0","310767.0","0.0"
"2025/09/17","-397951.0","75706.0","348303.0","-26058.0","0.0"
"2025/09/16","-137537.0","-121782.0","-1534301.0","1793620.0","0.0"
"2025/09/15","-350062.0","12934.0","63464.0","273664.0","0.0"
"2025/09/12","492112.0","30735.0","-1977706.0","1454860.0","0.0"
"2025/09/11","685146.0","56521.0","-1054897.0","313230.0","0.0"
"2025/09/10","845134.0","6272.0","-2244503.0","1393097.0","0.0"
"2025/09/09","241013.0","94598.0","-1002504.0","666893.0","0.0"
"2025/09/08","30994.0","108200.0","-338943.0","199749.0","0.0"
"2025/09/05","159729.0","85665.0","-141128.0","-104266.0","0.0"
"2025/09/04","-14696.0","108218.0","-304103.0","210580.0","0.0"
"2025/09/03","-537336.0","102583.0","-13206.0","447959.0","0.0"
"2025/09/02","-228432.0","87194.0","-265085.0","406323.0","0.0"
"2025/09/01","-262944.0","98954.0","448324.0","-284334.0","0.0"
"2025/08/29","38443.0","78534.0","321501.0","-438478.0","0.0"
"2025/08/28","171125.0","91057.0","-237108.0","-25073.0","0.0"
"2025/08/27","-97632.0","111998.0","150310.0","-164676.0","0.0"
"2025/08/26","-391315.0","96896.0","987752.0","-693333.0","0.0"
"2025/08/25","97601.0","119807.0","-343348.0","125939.0","0.0"
"2025/08/22","54179.0","127751.0","-370690.0","188759.0","0.0"
"2025/08/21","137858.0","110184.0","-200567.0","-47476.0","0.0"
"2025/08/20","556371.0","93494.0","-526777.0","-123088.0","0.0"
"2025/08/19","102424.0","112325.0","215813.0","-430562.0","0.0"
"2025/08/18","-150767.0","63649.0","539633.0","-452515.0","0.0"
"2025/08/14","-83217.0","123758.0","13429.0","-53969.0","0.0"
"2025/08/13","-37718.0","93168.0","-689326.0","633876.0","0.0"
"2025/08/12","-244366.0","109313.0","136956.0","-1902.0","0.0"
"2025/08/11","-244421.0","161638.0","-149123.0","231906.0","0.0"
"2025/08/08","-230731.0","113378.0","237706.0","-120354.0","0.0"
"2025/08/07","47952.0","119271.0","-172503.0","5280.0","0.0"
"2025/08/06","-460888.0","75662.0","97359.0","287868.0","0.0"
"2025/08/05","90412.0","125046.0","-530961.0","315503.0","0.0"
"2025/08/04","161919.0","52927.0","-290724.0","75878.0","0.0"
"2025/08/01","-1315581.0","52028.0","1912329.0","-648776.0","0.0"
