일자,기관 합계,기타법인,개인,외국인 합계,전체
"2026/03/06","1.5071964E7","715072.0","1.9866465E7","2.0646142E7","5.6299643E7"
"2026/03/05","2.2578142E7","1286691.0","2.991489E7","2.6413507E7","8.019323E7"
"2026/03/04","2.6718992E7","1518071.0","4.3640574E7","3.615213E7","1.08029768E8"
"2026/03/03","2.3241427E7","1035531.0","3.215772E7","3.3669225E7","9.0103903E7"
"2026/02/27","1.9416978E7","799642.0","2.4708566E7","3.8571501E7","8.3496687E7"
"2026/02/26","1.7347634E7","761937.0","2.4861188E7","2.1771576E7","6.4742334E7"
"2026/02/25","1.4828161E7","1515574.0","2.0552464E7","1.845274E7","5.5348939E7"
"2026/02/24","1.18015E7","608784.0","2.0181821E7","1.5832177E7","4.8424282E7"
"2026/02/23","1.4854627E7","559875.0","1.9321746E7","1.626019E7","5.0996438E7"
"2026/02/20","1.2888735E7","595523.0","2.1469002E7","1.5025394E7","4.9978655E7"
"2026/02/19","1.2067436E7","581150.0","1.8974092E7","1.5280865E7","4.6903543E7"
"2026/02/13","1.2077404E7","590841.0","1.9867184E7","1.4452557E7","4.6987986E7"
"2026/02/12","1.2720905E7","521005.0","2.085017E7","1.2749509E7","4.684159E7"
"2026/02/11","9564812.0","385681.0","1.6702321E7","1.0994538E7","3.7647353E7"
"2026/02/10","1.0162702E7","354231.0","1.4716055E7","1.2259212E7","3.7492201E7"
"2026/02/09","1.0638748E7","483587.0","1.8730157E7","1.2839363E7","4.2691855E7"
"2026/02/06","1.3676927E7","935513.0","1.8481859E7","1.8706759E7","5.1801058E7"
"2026/02/05","1.702891E7","467022.0","1.6940626E7","2.0377032E7","5.481359E7"
"2026/02/04","1.3243357E7","543462.0","2.0665611E7","1.6071381E7","5.0523812E7"
"2026/02/03","1.222583E7","640710.0","2.1469587E7","1.5378717E7","4.9714844E7"
"2026/02/02","1.9266793E7","829731.0","2.1039028E7","2.1649056E7","6.2784606E7"
"2026/01/30","1.7150945E7","643308.0","2.2193476E7","2.2509878E7","6.2497607E7"
"2026/01/29","1.8324084E7","686017.0","2.4422697E7","1.9797529E7","6.3230327E7"
"2026/01/28","1.6721413E7","781719.0","1.982187E7","1.6299231E7","5.3624233E7"
"2026/01/27","1.3530227E7","606768.0","2.0065758E7","1.278096E7","4.6983713E7"
"2026/01/26","1.3916925E7","511960.0","1.5609712E7","1.1678949E7","4.1717546E7"
"2026/01/23","1.2392915E7","498308.0","1.9277217E7","1.240934E7","4.457778E7"
"2026/01/22","1.3576185E7","564454.0","2.0170297E7","1.4181072E7","4.8492008E7"
"2026/01/21","1.249827E7","518735.0","1.9546913E7","1.3877656E7","4.6441574E7"
"2026/01/20","1.2208542E7","521038.0","1.8129458E7","1.099846E7","4.1857497E7"
"2026/01/19","1.0141982E7","469952.0","1.7551229E7","9159341.0","3.7322503E7"
"2026/01/16","1.0675236E7","427699.0","1.7762352E7","1.1127557E7","3.9992843E7"
"2026/01/15","1.0027084E7","422827.0","1.5568752E7","9686937.0","3.57056E7"
"2026/01/14","9005425.0","339901.0","1.4356077E7","1.1184039E7","3.4885443E7"
"2026/01/13","9392821.0","450430.0","1.6348802E7","1.032893E7","3.6520983E7"
